"TIME","GEO","density","gdp","employment"
2010,"EU27_2020",NA,10979449.77,195862.42
2010,"BE",NA,363140.1,4493
2010,"BE1",NA,69086.02,678.3
2010,"BE10",NA,69086.02,678.3
2010,"BE100",NA,69086.02,678.3
2010,"BE2",NA,208141.88,2603.3
2010,"BE21",NA,68034.94,775.5
2010,"BE211",NA,40746.51,459.3
2010,"BE212",NA,11520.61,136.6
2010,"BE213",NA,15767.82,179.5
2010,"BE22",NA,22464.17,327.5
2010,"BE221",NA,13397.29,188.8
2010,"BE222",NA,5328.75,79.3
2010,"BE223",NA,3738.13,59.4
2010,"BE23",NA,43035.65,561.1
2010,"BE231",NA,5898.18,82.6
2010,"BE232",NA,4365.22,60.3
2010,"BE233",NA,1892.13,27.5
2010,"BE234",NA,20411.94,258.3
2010,"BE235",NA,3447.15,42.5
2010,"BE236",NA,7021.03,90
2010,"BE24",NA,38075.25,431.7
2010,"BE241",NA,23326.82,254.1
2010,"BE242",NA,14748.42,177.6
2010,"BE25",NA,36531.87,507.5
2010,"BE251",NA,9249.38,127.5
2010,"BE252",NA,1115.01,16.8
2010,"BE253",NA,2877.6,43.2
2010,"BE254",NA,9579.1,134.7
2010,"BE255",NA,3795.46,50.4
2010,"BE256",NA,5039.89,70.1
2010,"BE257",NA,3064.13,40.9
2010,"BE258",NA,1811.29,23.9
2010,"BE3",NA,85667.46,1208.6
2010,"BE31",NA,14600.64,148
2010,"BE310",NA,14600.64,148
2010,"BE32",NA,28122.31,427.6
2010,"BE321",NA,1519.3,23.9
2010,"BE322",NA,10439.29,150
2010,"BE323",NA,5072.25,77.7
2010,"BE324",NA,1834.69,29
2010,"BE325",NA,3417.37,54.3
2010,"BE326",NA,2228.46,36.9
2010,"BE327",NA,3610.94,55.9
2010,"BE33",NA,25943.11,377.1
2010,"BE331",NA,2422.93,32.2
2010,"BE332",NA,16125.09,229.3
2010,"BE334",NA,1149.83,18
2010,"BE335",NA,4477.97,70.2
2010,"BE336",NA,1767.29,27.4
2010,"BE34",NA,5872.54,92.1
2010,"BE341",NA,1321.92,19.5
2010,"BE342",NA,1009.88,16.9
2010,"BE343",NA,1340.39,20.9
2010,"BE344",NA,1378.34,22.4
2010,"BE345",NA,822.01,12.4
2010,"BE35",NA,11128.86,163.8
2010,"BE351",NA,1983.04,33.2
2010,"BE352",NA,8126.53,114.2
2010,"BE353",NA,1019.29,16.4
2010,"BEZ",NA,244.75,2.8
2010,"BEZZ",NA,244.75,2.8
2010,"BEZZZ",NA,244.75,2.8
2010,"BG",NA,38058.14,3603.89
2010,"BG3",NA,14395.19,1643.19
2010,"BG31",NA,2773.12,321.07
2010,"BG311",NA,279.58,30.53
2010,"BG312",NA,433.57,48.89
2010,"BG313",NA,795.93,80.01
2010,"BG314",NA,790.46,104.7
2010,"BG315",NA,473.58,56.94
2010,"BG32",NA,2989.87,384.66
2010,"BG321",NA,915.75,114.3
2010,"BG322",NA,505.85,55.81
2010,"BG323",NA,858.12,110.42
2010,"BG324",NA,400.88,51.85
2010,"BG325",NA,309.28,52.27
2010,"BG33",NA,4018.93,445.05
2010,"BG331",NA,2382.02,231.54
2010,"BG332",NA,681.17,84.17
2010,"BG333",NA,576.81,75.53
2010,"BG334",NA,378.93,53.8
2010,"BG34",NA,4613.28,492.41
2010,"BG341",NA,1917.95,187.3
2010,"BG342",NA,542.77,71.72
2010,"BG343",NA,430.77,66.38
2010,"BG344",NA,1721.79,167.01
2010,"BG4",NA,23662.95,1960.7
2010,"BG41",NA,18301.31,1268.16
2010,"BG411",NA,15239.03,921.53
2010,"BG412",NA,1136.07,90.75
2010,"BG413",NA,1040.48,158.48
2010,"BG414",NA,439.12,43.21
2010,"BG415",NA,446.61,54.2
2010,"BG42",NA,5361.64,692.54
2010,"BG421",NA,2827.66,335.59
2010,"BG422",NA,688.52,106.71
2010,"BG423",NA,981.18,135.82
2010,"BG424",NA,441.49,53.13
2010,"BG425",NA,422.78,61.3
2010,"CZ",NA,157920.82,5057
2010,"CZ0",NA,157920.82,5057
2010,"CZ01",NA,42696.63,912
2010,"CZ010",NA,42696.63,912
2010,"CZ02",NA,16655.66,550
2010,"CZ020",NA,16655.66,550
2010,"CZ03",NA,15709.06,579
2010,"CZ031",NA,7891.48,300
2010,"CZ032",NA,7817.58,279
2010,"CZ04",NA,12896.31,498
2010,"CZ041",NA,3238.32,142
2010,"CZ042",NA,9657.98,355
2010,"CZ05",NA,18130.88,680
2010,"CZ051",NA,4970.17,194
2010,"CZ052",NA,6981.94,250
2010,"CZ053",NA,6178.77,236
2010,"CZ06",NA,22299.02,777
2010,"CZ063",NA,6106.01,222
2010,"CZ064",NA,16193.02,555
2010,"CZ07",NA,14396.45,532
2010,"CZ071",NA,7091.41,270
2010,"CZ072",NA,7305.03,262
2010,"CZ08",NA,15136.81,529
2010,"CZ080",NA,15136.81,529
2010,"DK",NA,243165.44,2788
2010,"DK0",NA,235518.55,2781
2010,"DK01",NA,93399.91,971
2010,"DK011",NA,43919.66,454
2010,"DK012",NA,32731.13,316
2010,"DK013",NA,15494.5,183
2010,"DK014",NA,1254.77,18
2010,"DK02",NA,24547.41,326
2010,"DK021",NA,7391.7,97
2010,"DK022",NA,17155.71,229
2010,"DK03",NA,47069.35,576
2010,"DK031",NA,16521.32,218
2010,"DK032",NA,30548.03,358
2010,"DK04",NA,49135.59,631
2010,"DK041",NA,17214.84,222
2010,"DK042",NA,31920.75,409
2010,"DK05",NA,21366.13,276
2010,"DK050",NA,21366.13,276
2010,"DKZ",NA,7646.89,7
2010,"DKZZ",NA,7646.89,7
2010,"DKZZZ",NA,7646.89,7
2010,"DE",NA,2564400,41048
2010,"DE1",NA,382897.07,5720.11
2010,"DE11",NA,160270.92,2187.25
2010,"DE111",NA,42599.36,473.28
2010,"DE112",NA,18208.61,216.9
2010,"DE113",NA,16997.3,252.19
2010,"DE114",NA,6600.1,111.38
2010,"DE115",NA,18472.44,239.58
2010,"DE116",NA,11601.77,187.83
2010,"DE117",NA,5516.06,100.65
2010,"DE118",NA,11959.79,152.22
2010,"DE119",NA,3952.71,62.58
2010,"DE11A",NA,6125.52,100.08
2010,"DE11B",NA,4244.73,71.62
2010,"DE11C",NA,4020.8,65.35
2010,"DE11D",NA,9971.72,153.6
2010,"DE12",NA,97379.29,1457.65
2010,"DE121",NA,2500.6,40.39
2010,"DE122",NA,16073.66,222.13
2010,"DE123",NA,13047.49,193.94
2010,"DE124",NA,7784.51,109.37
2010,"DE125",NA,7127.5,113.27
2010,"DE126",NA,16051.86,224.46
2010,"DE127",NA,3632.45,65.54
2010,"DE128",NA,15225.92,218.15
2010,"DE129",NA,4364.98,72.3
2010,"DE12A",NA,3483.65,62.07
2010,"DE12B",NA,4464.82,75.26
2010,"DE12C",NA,3621.85,60.77
2010,"DE13",NA,65611.45,1121.76
2010,"DE131",NA,9131.36,156.79
2010,"DE132",NA,5698.64,106.02
2010,"DE133",NA,3724.64,67.09
2010,"DE134",NA,13629.82,225.21
2010,"DE135",NA,4525.85,71.5
2010,"DE136",NA,6147.93,111.51
2010,"DE137",NA,4781.12,76.89
2010,"DE138",NA,7618.85,131.63
2010,"DE139",NA,6268.22,101.45
2010,"DE13A",NA,4085.03,73.67
2010,"DE14",NA,59635.41,953.45
2010,"DE141",NA,8759.63,141.43
2010,"DE142",NA,5555.61,99.69
2010,"DE143",NA,5172.34,89.06
2010,"DE144",NA,7636.26,118.89
2010,"DE145",NA,4759.51,73.95
2010,"DE146",NA,7188.46,101.97
2010,"DE147",NA,7796.57,112.27
2010,"DE148",NA,9196.96,148.46
2010,"DE149",NA,3570.05,67.73
2010,"DE2",NA,452128.17,6780.78
2010,"DE21",NA,195130.47,2482.04
2010,"DE211",NA,10100.01,108.78
2010,"DE212",NA,82701.63,954.77
2010,"DE213",NA,2459.46,45.55
2010,"DE214",NA,4929.81,58.11
2010,"DE215",NA,2584.92,51.73
2010,"DE216",NA,2865.38,52.69
2010,"DE217",NA,2977.85,50.95
2010,"DE218",NA,3316.74,49.76
2010,"DE219",NA,3110.18,48.33
2010,"DE21A",NA,3067.82,50.17
2010,"DE21B",NA,7173.24,102.49
2010,"DE21C",NA,4141.45,69.8
2010,"DE21D",NA,2116.87,43.16
2010,"DE21E",NA,2968.04,52.33
2010,"DE21F",NA,2556.57,46.24
2010,"DE21G",NA,2992.9,51.35
2010,"DE21H",NA,28239.69,237.96
2010,"DE21I",NA,2815.07,42.1
2010,"DE21J",NA,4253.54,49.51
2010,"DE21K",NA,6114.62,107.06
2010,"DE21L",NA,4675.58,61.38
2010,"DE21M",NA,5166.5,84.78
2010,"DE21N",NA,3802.59,63.05
2010,"DE22",NA,36652.07,613.44
2010,"DE221",NA,3064.57,52.68
2010,"DE222",NA,2799.99,47.7
2010,"DE223",NA,2012.89,37.75
2010,"DE224",NA,3538.46,65.16
2010,"DE225",NA,1577.85,34.02
2010,"DE226",NA,3067.25,50.5
2010,"DE227",NA,4585.9,59.2
2010,"DE228",NA,4399.21,79.01
2010,"DE229",NA,1826.43,36.27
2010,"DE22A",NA,3088.54,56.57
2010,"DE22B",NA,1973.86,35.92
2010,"DE22C",NA,4717.12,58.69
2010,"DE23",NA,34601.81,573.23
2010,"DE231",NA,1782.08,33.52
2010,"DE232",NA,10335.37,136.16
2010,"DE233",NA,1974.74,39.8
2010,"DE234",NA,2109.17,37.95
2010,"DE235",NA,3416.03,67.99
2010,"DE236",NA,3791.44,60.48
2010,"DE237",NA,2098.73,36.05
2010,"DE238",NA,3417.63,58.25
2010,"DE239",NA,3787.09,70.61
2010,"DE23A",NA,1889.52,32.43
2010,"DE24",NA,30812.44,554.57
2010,"DE241",NA,3693.8,67.56
2010,"DE242",NA,3584.25,64.88
2010,"DE243",NA,2674.69,39.37
2010,"DE244",NA,1751.93,34.4
2010,"DE245",NA,2871.1,48.71
