"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2015","EU27_2020","PER_KM2","108.1","e"
"2015","EU28","PER_KM2","117.0","e"
"2015","EU27_2007","PER_KM2","117.6","e"
"2015","BE","PER_KM2","371.8",""
"2015","BE1","PER_KM2","7,408.0",""
"2015","BE10","PER_KM2","7,408.0",""
"2015","BE100","PER_KM2","7,408.0",""
"2015","BE2","PER_KM2","484.5",""
"2015","BE21","PER_KM2","652.0",""
"2015","BE211","PER_KM2","1,079.5",""
"2015","BE212","PER_KM2","676.2",""
"2015","BE213","PER_KM2","337.7",""
"2015","BE22","PER_KM2","361.9",""
"2015","BE221","PER_KM2","474.9",""
"2015","BE222","PER_KM2","275.1",""
"2015","BE223","PER_KM2","321.7",""
"2015","BE23","PER_KM2","503.4",""
"2015","BE231","PER_KM2","606.8",""
"2015","BE232","PER_KM2","592.2",""
"2015","BE233","PER_KM2","252.4",""
"2015","BE234","PER_KM2","586.3",""
"2015","BE235","PER_KM2","293.4",""
"2015","BE236","PER_KM2","537.5",""
"2015","BE24","PER_KM2","532.2",""
"2015","BE241","PER_KM2","659.6",""
"2015","BE242","PER_KM2","428.8",""
"2015","BE25","PER_KM2","378.3",""
"2015","BE251","PER_KM2","433.1",""
"2015","BE252","PER_KM2","141.2",""
"2015","BE253","PER_KM2","194.1",""
"2015","BE254","PER_KM2","712.6",""
"2015","BE255","PER_KM2","533.0",""
"2015","BE256","PER_KM2","549.9",""
"2015","BE257","PER_KM2","279.4",""
"2015","BE258","PER_KM2","223.4",""
"2015","BE3","PER_KM2","214.8",""
"2015","BE31","PER_KM2","363.0",""
"2015","BE310","PER_KM2","363.0",""
"2015","BE32","PER_KM2","354.8",""
"2015","BE321","PER_KM2","177.8",""
"2015","BE322","PER_KM2","777.1",""
"2015","BE323","PER_KM2","444.6",""
"2015","BE324","PER_KM2","748.9",""
"2015","BE325","PER_KM2","365.5",""
"2015","BE326","PER_KM2","163.3",""
"2015","BE327","PER_KM2","242.5",""
"2015","BE33","PER_KM2","286.5",""
"2015","BE331","PER_KM2","171.3",""
"2015","BE332","PER_KM2","791.4",""
"2015","BE334","PER_KM2","203.2",""
"2015","BE335","PER_KM2","180.8",""
"2015","BE336","PER_KM2","90.5",""
"2015","BE34","PER_KM2","63.5",""
"2015","BE341","PER_KM2","192.2",""
"2015","BE342","PER_KM2","45.9",""
"2015","BE343","PER_KM2","59.6",""
"2015","BE344","PER_KM2","46.3",""
"2015","BE345","PER_KM2","69.4",""
"2015","BE35","PER_KM2","134.2",""
"2015","BE351","PER_KM2","69.5",""
"2015","BE352","PER_KM2","269.6",""
"2015","BE353","PER_KM2","74.3",""
"2015","BG","PER_KM2","66.2",""
"2015","BG3","PER_KM2","54.1",""
"2015","BG31","PER_KM2","42.5",""
"2015","BG311","PER_KM2","31.3",""
"2015","BG312","PER_KM2","39.1",""
"2015","BG313","PER_KM2","48.9",""
"2015","BG314","PER_KM2","56.6",""
"2015","BG315","PER_KM2","32.3",""
"2015","BG32","PER_KM2","57.0",""
"2015","BG321","PER_KM2","53.9",""
"2015","BG322","PER_KM2","61.4",""
