"TIME","GEO","UNIT","WSTATUS","NACE_R2","Value","Flag and Footnotes"
"2010","EU27_2020","THS","EMP","TOTAL","195,862.42",""
"2010","BE","THS","EMP","TOTAL","4,493",""
"2010","BE1","THS","EMP","TOTAL","678.3",""
"2010","BE10","THS","EMP","TOTAL","678.3",""
"2010","BE100","THS","EMP","TOTAL","678.3",""
"2010","BE2","THS","EMP","TOTAL","2,603.3",""
"2010","BE21","THS","EMP","TOTAL","775.5",""
"2010","BE211","THS","EMP","TOTAL","459.3",""
"2010","BE212","THS","EMP","TOTAL","136.6",""
"2010","BE213","THS","EMP","TOTAL","179.5",""
"2010","BE22","THS","EMP","TOTAL","327.5",""
"2010","BE221","THS","EMP","TOTAL","188.8",""
"2010","BE222","THS","EMP","TOTAL","79.3",""
"2010","BE223","THS","EMP","TOTAL","59.4",""
"2010","BE23","THS","EMP","TOTAL","561.1",""
"2010","BE231","THS","EMP","TOTAL","82.6",""
"2010","BE232","THS","EMP","TOTAL","60.3",""
"2010","BE233","THS","EMP","TOTAL","27.5",""
"2010","BE234","THS","EMP","TOTAL","258.3",""
"2010","BE235","THS","EMP","TOTAL","42.5",""
"2010","BE236","THS","EMP","TOTAL","90",""
"2010","BE24","THS","EMP","TOTAL","431.7",""
"2010","BE241","THS","EMP","TOTAL","254.1",""
"2010","BE242","THS","EMP","TOTAL","177.6",""
"2010","BE25","THS","EMP","TOTAL","507.5",""
"2010","BE251","THS","EMP","TOTAL","127.5",""
"2010","BE252","THS","EMP","TOTAL","16.8",""
"2010","BE253","THS","EMP","TOTAL","43.2",""
"2010","BE254","THS","EMP","TOTAL","134.7",""
"2010","BE255","THS","EMP","TOTAL","50.4",""
"2010","BE256","THS","EMP","TOTAL","70.1",""
"2010","BE257","THS","EMP","TOTAL","40.9",""
"2010","BE258","THS","EMP","TOTAL","23.9",""
"2010","BE3","THS","EMP","TOTAL","1,208.6",""
"2010","BE31","THS","EMP","TOTAL","148",""
"2010","BE310","THS","EMP","TOTAL","148",""
"2010","BE32","THS","EMP","TOTAL","427.6",""
"2010","BE321","THS","EMP","TOTAL","23.9",""
"2010","BE322","THS","EMP","TOTAL","150",""
"2010","BE323","THS","EMP","TOTAL","77.7",""
"2010","BE324","THS","EMP","TOTAL","29",""
"2010","BE325","THS","EMP","TOTAL","54.3",""
"2010","BE326","THS","EMP","TOTAL","36.9",""
"2010","BE327","THS","EMP","TOTAL","55.9",""
"2010","BE33","THS","EMP","TOTAL","377.1",""
"2010","BE331","THS","EMP","TOTAL","32.2",""
"2010","BE332","THS","EMP","TOTAL","229.3",""
"2010","BE334","THS","EMP","TOTAL","18",""
"2010","BE335","THS","EMP","TOTAL","70.2",""
"2010","BE336","THS","EMP","TOTAL","27.4",""
"2010","BE34","THS","EMP","TOTAL","92.1",""
"2010","BE341","THS","EMP","TOTAL","19.5",""
"2010","BE342","THS","EMP","TOTAL","16.9",""
"2010","BE343","THS","EMP","TOTAL","20.9",""
"2010","BE344","THS","EMP","TOTAL","22.4",""
"2010","BE345","THS","EMP","TOTAL","12.4",""
"2010","BE35","THS","EMP","TOTAL","163.8",""
"2010","BE351","THS","EMP","TOTAL","33.2",""
"2010","BE352","THS","EMP","TOTAL","114.2",""
"2010","BE353","THS","EMP","TOTAL","16.4",""
"2010","BEZ","THS","EMP","TOTAL","2.8",""
"2010","BEZZ","THS","EMP","TOTAL","2.8",""
"2010","BEZZZ","THS","EMP","TOTAL","2.8",""
"2010","BG","THS","EMP","TOTAL","3,603.89",""
"2010","BG3","THS","EMP","TOTAL","1,643.19",""
"2010","BG31","THS","EMP","TOTAL","321.07",""
"2010","BG311","THS","EMP","TOTAL","30.53",""
"2010","BG312","THS","EMP","TOTAL","48.89",""
"2010","BG313","THS","EMP","TOTAL","80.01",""
"2010","BG314","THS","EMP","TOTAL","104.7",""
"2010","BG315","THS","EMP","TOTAL","56.94",""
"2010","BG32","THS","EMP","TOTAL","384.66",""
"2010","BG321","THS","EMP","TOTAL","114.3",""
"2010","BG322","THS","EMP","TOTAL","55.81",""
"2010","BG323","THS","EMP","TOTAL","110.42",""
