506,23
ID,TOWN,TOWNNO,TRACT,LON,LAT,x,y,MEDV,CMEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
1,Nahant                 ,0,2011,-70.9550,42.2550,338.730,4679.730,24.0,24.0,0.00632,18.00,2.31,0,0.538,6.575,65.20,4.0900,1,296,15.3,396.90,4.98
2,Swampscott             ,1,2021,-70.9500,42.2875,339.230,4683.330,21.6,21.6,0.02731,0.00,7.07,0,0.469,6.421,78.90,4.9671,2,242,17.8,396.90,9.14
3,Swampscott             ,1,2022,-70.9360,42.2830,340.370,4682.800,34.7,34.7,0.02729,0.00,7.07,0,0.469,7.185,61.10,4.9671,2,242,17.8,392.83,4.03
4,Marblehead             ,2,2031,-70.9280,42.2930,341.050,4683.890,33.4,33.4,0.03237,0.00,2.18,0,0.458,6.998,45.80,6.0622,3,222,18.7,394.63,2.94
5,Marblehead             ,2,2032,-70.9220,42.2980,341.560,4684.440,36.2,36.2,0.06905,0.00,2.18,0,0.458,7.147,54.20,6.0622,3,222,18.7,396.90,5.33
6,Marblehead             ,2,2033,-70.9165,42.3040,342.030,4685.090,28.7,28.7,0.02985,0.00,2.18,0,0.458,6.430,58.70,6.0622,3,222,18.7,394.12,5.21
7,Salem                  ,3,2041,-70.9360,42.2970,340.410,4684.350,22.9,22.9,0.08829,12.50,7.87,0,0.524,6.012,66.60,5.5605,5,311,15.2,395.60,12.43
8,Salem                  ,3,2042,-70.9375,42.3100,340.310,4685.800,27.1,22.1,0.14455,12.50,7.87,0,0.524,6.172,96.10,5.9505,5,311,15.2,396.90,19.15
9,Salem                  ,3,2043,-70.9330,42.3120,340.690,4686.010,16.5,16.5,0.21124,12.50,7.87,0,0.524,5.631,100.00,6.0821,5,311,15.2,386.63,29.93
10,Salem                  ,3,2044,-70.9290,42.3160,341.030,4686.450,18.9,18.9,0.17004,12.50,7.87,0,0.524,6.004,85.90,6.5921,5,311,15.2,386.71,17.10
11,Salem                  ,3,2045,-70.9350,42.3160,340.540,4686.460,15.0,15.0,0.22489,12.50,7.87,0,0.524,6.377,94.30,6.3467,5,311,15.2,392.52,20.45
12,Salem                  ,3,2046,-70.9440,42.3170,339.800,4686.590,18.9,18.9,0.11747,12.50,7.87,0,0.524,6.009,82.90,6.2267,5,311,15.2,396.90,13.27
13,Salem                  ,3,2047,-70.9510,42.3060,339.190,4685.380,21.7,21.7,0.09378,12.50,7.87,0,0.524,5.889,39.00,5.4509,5,311,15.2,390.50,15.71
14,Lynn                   ,4,2051,-70.9645,42.2920,338.040,4683.850,20.4,20.4,0.62976,0.00,8.14,0,0.538,5.949,61.80,4.7075,4,307,21.0,396.90,8.26
15,Lynn                   ,4,2052,-70.9720,42.2870,337.410,4683.310,18.2,18.2,0.63796,0.00,8.14,0,0.538,6.096,84.50,4.4619,4,307,21.0,380.02,10.26
16,Lynn                   ,4,2053,-70.9765,42.2940,337.060,4684.100,19.9,19.9,0.62739,0.00,8.14,0,0.538,5.834,56.50,4.4986,4,307,21.0,395.62,8.47
17,Lynn                   ,4,2054,-70.9870,42.2985,336.210,4684.620,23.1,23.1,1.05393,0.00,8.14,0,0.538,5.935,29.30,4.4986,4,307,21.0,386.85,6.58
18,Lynn                   ,4,2055,-70.9780,42.2850,336.910,4683.100,17.5,17.5,0.78420,0.00,8.14,0,0.538,5.990,81.70,4.2579,4,307,21.0,386.75,14.67
19,Lynn                   ,4,2056,-70.9925,42.2825,335.710,4682.850,20.2,20.2,0.80271,0.00,8.14,0,0.538,5.456,36.60,3.7965,4,307,21.0,288.99,11.69
